anomalous_point_percentage,best_performing_method,channel,combined_detected_events,combined_evaluated_observations,combined_evaluated_runs,combined_event_recall,combined_false_alerts_per_1000_observations,combined_false_confirmed_events,combined_false_positive_observations,combined_ground_truth_events,combined_maximum_detection_delay_observations,combined_mean_detection_delay_observations,combined_median_detection_delay_observations,combined_missed_events,combined_point_f1,combined_point_false_positive_rate,combined_point_precision,combined_point_recall,combined_processing_time_ms,constant_or_near_constant_features,if_score_direction_valid,if_test_normal_score_mean,if_train_score_mean,isolation_forest_detected_events,isolation_forest_evaluated_observations,isolation_forest_evaluated_runs,isolation_forest_event_recall,isolation_forest_false_alerts_per_1000_observations,isolation_forest_false_confirmed_events,isolation_forest_false_positive_observations,isolation_forest_ground_truth_events,isolation_forest_maximum_detection_delay_observations,isolation_forest_mean_detection_delay_observations,isolation_forest_median_detection_delay_observations,isolation_forest_missed_events,isolation_forest_point_f1,isolation_forest_point_false_positive_rate,isolation_forest_point_precision,isolation_forest_point_recall,isolation_forest_processing_time_ms,labelled_intervals,missing_value_percentage,mission,rolling_boundary_candidate_in_first_window,standardized_mean_shift,test_difference_std,test_linear_slope,test_max,test_mean,test_min,test_observations,test_outside_train_range_percentage,test_std,test_to_train_std_ratio,threshold_candidate_percentage,threshold_detected_events,threshold_evaluated_observations,threshold_evaluated_runs,threshold_event_recall,threshold_false_alerts_per_1000_observations,threshold_false_confirmed_events,threshold_false_positive_observations,threshold_ground_truth_events,threshold_maximum_detection_delay_observations,threshold_mean_detection_delay_observations,threshold_median_detection_delay_observations,threshold_missed_events,threshold_point_f1,threshold_point_false_positive_rate,threshold_point_precision,threshold_point_recall,threshold_processing_time_ms,train_max,train_mean,train_min,train_std,training_observations
0.983796,threshold,A-1,1,8640,1,0.0,0.115741,1,8553,1,,,,1,0.019489,0.999766,0.00984,1.0,143.006,7,True,0.256365,0.257015,0,8640,1,0.0,0.0,0,0,1,,,,1,0.0,0.0,0.0,0.0,143.006,1,0.0,SMAP,True,768518.518518,0.030431,-1.6e-08,1.0,0.999769,-1.0,8640,100.0,0.021515,21515328.93745,100.0,1,8640,1,0.0,0.115741,1,8553,1,,,,1,0.019489,0.999766,0.00984,1.0,1.01,0.999,0.999,0.999,0.0,2880
1.402578,threshold,A-2,1,7914,1,0.0,0.126358,1,1,1,,,,1,0.0,0.000128,0.0,0.0,152.316,7,False,0.19788,0.197718,1,7914,1,0.0,0.126358,1,1,1,,,,1,0.0,0.000128,0.0,0.0,152.316,1,0.0,SMAP,False,0.154185,0.180988,1.5798e-05,1.0,-0.070896,-1.0,7914,0.0,0.495005,0.879526,0.0,0,7914,1,0.0,0.0,0,0,1,,,,1,0.0,0.0,0.0,0.0,1.18,1.0,0.015881,-1.0,0.562809,2648
2.26691,threshold,A-3,1,8205,1,0.0,0.121877,1,1,1,,,,1,0.0,0.000125,0.0,0.0,151.104,7,True,0.180224,0.179335,1,8205,1,0.0,0.121877,1,1,1,,,,1,0.0,0.000125,0.0,0.0,151.104,1,0.0,SMAP,False,0.088744,0.133735,5.1415e-05,1.0,-0.000704,-1.0,8205,0.0,0.430878,0.916143,0.0,0,8205,1,0.0,0.0,0,0,1,,,,1,0.0,0.0,0.0,0.0,0.75,1.0,0.041033,-1.0,0.470318,2736
13.780919,isolation_forest,C-1,7,2264,1,0.5,2.650177,6,21,2,43,43.0,43.0,1,0.046921,0.010758,0.275862,0.025641,115.92,40,True,0.120889,0.119001,8,2264,1,0.5,3.091873,7,10,2,0,0.0,0.0,1,0.048485,0.005123,0.444444,0.025641,115.92,2,0.0,MSL,False,0.169725,0.094958,7.5606e-05,1.0,-0.596494,-1.0,2264,0.0,0.422137,0.977564,0.662544,1,2264,1,0.0,0.441696,1,13,2,,,,2,0.0,0.00666,0.0,0.0,0.314,2.193448,-0.669785,-1.0,0.431825,2158
6.679668,threshold,C-2,28,2051,1,1.0,12.676743,26,1405,2,1,0.5,0.5,0,0.142169,0.734065,0.077479,0.861314,122.771,47,False,0.176751,0.12271,0,2051,1,0.0,0.0,0,0,2,,,,2,0.0,0.0,0.0,0.0,122.771,2,0.0,MSL,False,472131419.26157,0.118098,-4.7328e-05,1.0,-0.527869,-1.0,2051,77.181863,0.469212,469212472.797235,77.181863,28,2051,1,1.0,12.676743,26,1405,2,1,0.5,0.5,0,0.142169,0.734065,0.077479,0.861314,0.371,-1.0,-1.0,-1.0,0.0,764
8.457143,threshold,D-14,2,2625,1,1.0,0.0,0,0,2,17,11.5,11.5,0,0.90099,0.0,1.0,0.81982,131.199,36,False,0.088656,0.120159,1,2625,1,0.5,0.0,0,0,2,9,9.0,9.0,1,0.008969,0.0,1.0,0.004505,131.199,2,0.0,MSL,True,140517006.802721,0.072723,0.000141089,1.0,-0.859483,-1.0,2625,7.085714,0.509153,509152733.735699,7.085714,2,2625,1,1.0,0.0,0,0,2,17,11.5,11.5,0,0.90099,0.0,1.0,0.81982,0.353,-1.0,-1.0,-1.0,0.0,3675
